schoolId,schoolName,lgdvillpanchayatName,blockName,classFrm,classTo,schCatDesc,schTypeDesc,schMgmtDescSt,address,boys_6_8_2023-24,boys_6_8_2024-25,c6B_2023-24,c6B_2024-25,c6G_2023-24,c6G_2024-25,c7B_2023-24,c7B_2024-25,c7G_2023-24,c7G_2024-25,c8B_2023-24,c8B_2024-25,c8G_2023-24,c8G_2024-25,girls_6_8_2023-24,girls_6_8_2024-25,total_6_8_2023-24,total_6_8_2024-25,sample_n
2499155,BASE PUBLIC SCHOOL,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),Vill- Masjidghar Bagalbari,9.0,,4.0,,1.0,,5.0,,0.0,,0.0,,0.0,,1.0,,10.0,0.0,0
2488709,MADARSA ITTEHADUL MUSLEMIN  RAHMAT PARA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-RAHMAT PARA PO-BAGALBARI ,,40.0,,12.0,,19.0,,13.0,,8.0,,15.0,,8.0,,35.0,,75.0,22
2447309,MADARSA SALIMIA MASJIDGARH,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-MASJIGAR PO-BAGALBARI,,5.0,,0.0,,3.0,,3.0,,2.0,,2.0,,2.0,,7.0,,12.0,4
2466402,MADARSA WAHIDIYA CHARAIYA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-CHARAIYA POWER HOUSE BAGAL BARI Ps -kochadhaman,,14.0,,11.0,,15.0,,3.0,,9.0,,0.0,,7.0,,31.0,,45.0,13
2432205,MADRASA NURUL ULOOM BISANPUR DORIA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-DORIA PO-BISHANPUR KOCHADHAMAN,,31.0,,12.0,,6.0,,5.0,,5.0,,14.0,,11.0,,22.0,,53.0,16
2425739,UMS BAGALBARI,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,"AT-BAGALBARI, PO-BAGALBARI, BLOCK-KOCHADHAMAN, DISTRICT-KISHANGANJ,BIHAR",,102.0,,27.0,,37.0,,49.0,,40.0,,26.0,,30.0,,107.0,,209.0,62
2479235,UMS BARAHMASIA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BARAHMASIA PO-BAGALBARI ,,61.0,,21.0,,26.0,,20.0,,42.0,,20.0,,30.0,,98.0,,159.0,47
2468123,UMS MASJIDGARH,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,masjid garah po-bagal bari kochadhaman,,43.0,,13.0,,9.0,,12.0,,19.0,,18.0,,17.0,,45.0,,88.0,26
2479239,UMS SINGHIA CHAKANDRA,Bagalbari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-SINGHAIA CHAKANDRA PO-BAGALBARI,70.0,,25.0,,33.0,,31.0,,39.0,,14.0,,24.0,,96.0,,166.0,0.0,0
2499269,MADARSA TALIMUL QURAN BARIJAN DURGAPUR,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),Vill- BARIJAN DURGAPUR,,16.0,,3.0,,5.0,,10.0,,8.0,,3.0,,6.0,,19.0,,35.0,10
2421292,MADRASA DARULULOOM  GOUSIYA RUHIYA SATBHITA,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-RUHIYA SATBHITTA KOCHADHAMAN,,23.0,,8.0,,9.0,,3.0,,3.0,,12.0,,10.0,,22.0,,45.0,13
2425041,MADRASA IMDADUL MUSLEMIN BARIJAN,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-BARIJAN PO-BARIJAN KOCHADHAMAN,,53.0,,22.0,,21.0,,13.0,,37.0,,18.0,,25.0,,83.0,,136.0,41
2458955,MS BARI JAN,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BARIJAN HIGH SCHOOL BARIAJAN ,,133.0,,51.0,,69.0,,32.0,,24.0,,50.0,,68.0,,161.0,,294.0,88
2503502,QURTUBA SCHOOL,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),"Qurtub Campus, Ruhiya, Kashibari, Kochadamin, Kishanganj, Bihar",,99.0,,41.0,,0.0,,31.0,,0.0,,27.0,,0.0,,0.0,,99.0,29
2413298,UMS POTHI MARI JAGIR,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,POHIMARI JAGIR KOCHADHAMAN,38.0,,15.0,,17.0,,13.0,,6.0,,10.0,,14.0,,37.0,,75.0,0.0,0
2412448,UMS RUHIYA,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-RUHIA PO-BARIJAN KOCHADHAMAN,,52.0,,20.0,,18.0,,16.0,,18.0,,16.0,,20.0,,56.0,,108.0,32
2410986,UMS SATBHITTA,Barizan Pothimari Zagir,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,at-satbhitta BARIJAN KOCHADHAMAN,,28.0,,11.0,,12.0,,11.0,,12.0,,6.0,,10.0,,34.0,,62.0,18
2464706,MADARSATUL BANAT GARIB NAWAZ TOOPAMARI,Bualdah,KOCHADHAMAN,1,10,Pr. Up Pr. and Secondary Only,3-Co-educational,Madarsa Private Unaided(Recognized),AT-TUPAMARI WEST KOCHADHAMAN,,13.0,,2.0,,5.0,,3.0,,9.0,,8.0,,14.0,,28.0,,41.0,12
2470228,MADRASA ISLAMIA SIRAJIA ANARKALI,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-ANARKALI KAJLAMANI TUPAMARI ,,34.0,,14.0,,11.0,,10.0,,12.0,,10.0,,17.0,,40.0,,74.0,22
2493551,MADRASA MAZIDUL ISLAM,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT- Mirzabagh Po- Kashibari Hat,,16.0,,11.0,,10.0,,3.0,,6.0,,2.0,,1.0,,17.0,,33.0,10
2477773,MADRASA ZIAUL ULOOM NARKALIHAT,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-NARKALI HAT KOCHADHAMAN,,18.0,,10.0,,2.0,,8.0,,2.0,,0.0,,0.0,,4.0,,22.0,7
2433628,UMS ANARKALI KAJALA MANI,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-ANARKALI KAJLA MANI PO-KOCHADHAMAN ,,45.0,,19.0,,28.0,,8.0,,10.0,,18.0,,19.0,,57.0,,102.0,30
2426330,UMS BUALDAH,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BUALDAH PO-BARIJAN KOCHADHAMN,,77.0,,26.0,,29.0,,24.0,,25.0,,27.0,,38.0,,92.0,,169.0,50
2410213,UMS NEEMBASTI TUPAMARI,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-TALBARI TUPAMARI PO-KASHIBARI HAT,,37.0,,15.0,,11.0,,13.0,,12.0,,9.0,,10.0,,33.0,,70.0,21
2453591,UMS TALBARI TUPAMARI,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-TALBARI TUPAMARI KOCHADHAMAN,,28.0,,19.0,,21.0,,9.0,,25.0,,0.0,,0.0,,46.0,,74.0,22
2421016,UMS TUPAMARI EAST,Bualdah,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-TUPAMARI EST PO-KASHIBARI HAT,,11.0,,4.0,,5.0,,6.0,,2.0,,1.0,,1.0,,8.0,,19.0,6
2413300,MADARSA DARUL HUDA MOUZA BARI,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-MAUJABARI PO-MAUJABARI KOCHADHAMAN,,16.0,,15.0,,19.0,,1.0,,14.0,,0.0,,12.0,,45.0,,61.0,18
2403831,MADARSA ITEHADUL MUSLEMIN BABHANGAWN,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),at-babhangawn maujabari kochadhaman,,32.0,,6.0,,9.0,,16.0,,3.0,,10.0,,7.0,,19.0,,51.0,15
2437308,MS DHANPURA,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-DHANPURA KOCHADHAMAN ,75.0,,19.0,,22.0,,34.0,,22.0,,22.0,,35.0,,79.0,,154.0,0.0,0
2448218,MS MOHAN MARI,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-MOHANMARI PO-BAGALBARI ,,153.0,,53.0,,76.0,,51.0,,68.0,,49.0,,52.0,,196.0,,349.0,104
2499194,PARADISE PUBLIC SCHOOL,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),Vill- Dhanpura Deramari,,4.0,,1.0,,3.0,,0.0,,0.0,,3.0,,1.0,,4.0,,8.0,2
2486257,SHAMS REZA PUBLIC SCHOOL,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Unrecognized,dhanpura kochadhamank,,14.0,,2.0,,0.0,,4.0,,2.0,,8.0,,3.0,,5.0,,19.0,6
2410985,UMS BABHANGAWN,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,at- bhabhan gawn kochadhaman,,52.0,,23.0,,23.0,,11.0,,15.0,,18.0,,8.0,,46.0,,98.0,29
2413297,UMS KASHI BARI SANTHAL TOLA,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-Kashibari santhal tola Kochadhaman,,61.0,,28.0,,18.0,,17.0,,12.0,,16.0,,20.0,,50.0,,111.0,33
2460513,UMS MAUJA BARI,Deramari,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-MAUJABARI PO-BAGALBARI KOCHADHAMAN,,86.0,,46.0,,33.0,,30.0,,25.0,,10.0,,25.0,,83.0,,169.0,50
2483234,GOLDEN PUBLIC SCHOOL,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),TUPAMARI GOLDEN PUBLIC SCHOOL ,,47.0,,18.0,,12.0,,14.0,,7.0,,15.0,,9.0,,28.0,,75.0,22
2491835,MADARSA ISLAHUL MUSLEMEEN ALTA,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),"AT- ALTA, POST- ALTA HAT, THANA- KOCHADHAMAN, DIST- KISHANGANJ",,29.0,,18.0,,12.0,,9.0,,4.0,,2.0,,5.0,,21.0,,50.0,15
2470184,MADARSA ITTHADIYA BURHIMARI,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-BURHIMARI MOHAMMADPUR KOCHADHAMAN,,55.0,,37.0,,26.0,,14.0,,9.0,,4.0,,3.0,,38.0,,93.0,28
2469941,MADARSA KARIMIA KAMALPUR,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-KAMALPUR ALTA KOCHADHAMAN,,25.0,,8.0,,11.0,,10.0,,13.0,,7.0,,11.0,,35.0,,60.0,18
2475725,MADARSA MUJFFRUL ISLAM KALANAJIN MANSURA,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-KAJLAMANI MANSOORA ,,39.0,,23.0,,28.0,,8.0,,14.0,,8.0,,5.0,,47.0,,86.0,26
2436182,MADRASA HIFAZATUL ISLAM KASHIBARI,Kamalpur,KOCHADHAMAN,1,12,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,Madarsa Private Unaided(Recognized),KASHIBARI HAT PO-KASHIBARI KOCHADHAMAN,,34.0,,19.0,,28.0,,10.0,,16.0,,5.0,,7.0,,51.0,,85.0,25
2491109,MS ALTA HAT,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,"AT-ALTA HAT, PO- ALTA HAT, PS- KOCHADHAMAN, DIST- KISHANGANJ",,75.0,,28.0,,40.0,,26.0,,28.0,,21.0,,35.0,,103.0,,178.0,53
2443027,U.M.S BUDHIMARI PACHIM BHAG,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BUDHIMARI PASCHIM BHAG ALTA HAT,,57.0,,18.0,,17.0,,27.0,,23.0,,12.0,,24.0,,64.0,,121.0,36
2421494,UMS BHOPLA,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,"AT- BHOPLA, PO- ALTA HAT, PS- KOCHADHAMAN, DIST- KISHANGANJ",,46.0,,21.0,,25.0,,14.0,,13.0,,11.0,,4.0,,42.0,,88.0,26
2480822,UMS DAKO PARA,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-DAKOPARA RAHMAT PARA KOCHADHAMAN,,108.0,,56.0,,47.0,,33.0,,66.0,,19.0,,33.0,,146.0,,254.0,76
2414885,UMS KALANAGIN,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,at-kalanagin alta hat kochadhaman,,37.0,,14.0,,8.0,,11.0,,12.0,,12.0,,9.0,,29.0,,66.0,20
2421203,UMS KASHIBARI KARBALLA,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-KASHIBARI KARBALA ALTA KOCHADHAMAN,,31.0,,12.0,,19.0,,11.0,,13.0,,8.0,,17.0,,49.0,,80.0,24
2437416,UMS KAUA URA,Kamalpur,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,At-kaua ura po-alta kochadhaman,,44.0,,19.0,,20.0,,10.0,,11.0,,15.0,,13.0,,44.0,,88.0,26
2458864,MADARSA HIFZUL AQUE DUL HAQQUA KANHIYABARI,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-KANHAIYA BARI PO KANHAIYABARI ,,57.0,,0.0,,0.0,,15.0,,1.0,,42.0,,65.0,,66.0,,123.0,37
2476353,MADARSA SHARFULULUM NURPUR MAHIYARPUR,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-MAHIYARPUR PO-KANHAIYABARI ,,12.0,,3.0,,6.0,,4.0,,4.0,,5.0,,4.0,,14.0,,26.0,8
2486131,MODERN ACADEMY,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Unrecognized,MODARACADMY KOCHADHAMAN ,,1.0,,1.0,,1.0,,0.0,,1.0,,0.0,,3.0,,5.0,,6.0,2
2458524,MODERN PUBLIC SCHOOL,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Pvt. Unaided (Recognized),MODER PUBLIC SCHOOL KANHAIYABARI MAHIYARPUR,,23.0,,9.0,,6.0,,8.0,,2.0,,6.0,,8.0,,16.0,,39.0,12
2491108,MS KANHAIYABARI,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-KANHAIYABARI PO-KANHAIYABARI KOCHADHAMAN,65.0,,22.0,,23.0,,29.0,,26.0,,14.0,,32.0,,81.0,,146.0,0.0,0
2455064,UMS DINGSOL,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-DINGSOL KANHAIYABARI KOCHADHAMAN,,26.0,,10.0,,14.0,,8.0,,5.0,,8.0,,10.0,,29.0,,55.0,16
2479965,UMS MAHIYAR PUR,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-MAHIYAR PUR KANHAIYABARI ,,58.0,,30.0,,20.0,,21.0,,24.0,,7.0,,10.0,,54.0,,112.0,33
2456546,UMS MAJGAMA,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-MAJGAMA PO-KANHAIBARI KOCHADHAMAN,,42.0,,32.0,,38.0,,7.0,,18.0,,3.0,,7.0,,63.0,,105.0,31
2456545,UMS MAJGAMA TOLA KASHIBARI,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-MAJGAMA TOLA KASHIBARI ,,49.0,,23.0,,22.0,,21.0,,19.0,,5.0,,10.0,,51.0,,100.0,30
2459000,UMS PARIHALPUR,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,at-parihalpur kashibarihat kocha,52.0,,19.0,,30.0,,21.0,,19.0,,12.0,,24.0,,73.0,,125.0,0.0,0
2479966,UMS RANGAMANI,Mazgama,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-RANGAMANI PO-KANHAIYABARI,,56.0,,15.0,,23.0,,22.0,,27.0,,19.0,,10.0,,60.0,,116.0,35
2446778,MADARSA CHAMANE MUSTAFA TEGHARIA,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-TEGHARIA PO-GANGHI HAT KOCHADHAMN,,52.0,,28.0,,18.0,,14.0,,16.0,,10.0,,6.0,,40.0,,92.0,27
2464892,MADARSA MADARSATUL QUARAN DHANPURA,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),AT-DHANPURA PO-DHANPURA ,,12.0,,7.0,,12.0,,3.0,,1.0,,2.0,,1.0,,14.0,,26.0,8
2476663,MADARSA MAHBOOBIA HATGACHHI GAURAMANI,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),at-hatgachhi gauramani po-ganghi hat ,21.0,,9.0,,6.0,,5.0,,3.0,,7.0,,1.0,,10.0,,31.0,0.0,0
2432867,MADARSA MUFIDUL ISLAM TEGHARIA,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Madarsa Private Unaided(Recognized),ISLAM TEGHARIAYA PO-GANGHI HAT ,,18.0,,4.0,,11.0,,8.0,,5.0,,6.0,,5.0,,21.0,,39.0,12
2467352,UMS ALTABARI KHURD,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-ALTABARI KHURD GAURAMANI ,,59.0,,23.0,,23.0,,14.0,,15.0,,22.0,,28.0,,66.0,,125.0,37
2411702,UMS BAHICHA KUTTI,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-BAHICHAKUTTI PO-DHANPURA ,,64.0,,26.0,,41.0,,21.0,,31.0,,17.0,,25.0,,97.0,,161.0,48
2432870,UMS CHURA KUTTI,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-CHURAKUTTI PO-GANGHI HAT,,23.0,,6.0,,12.0,,7.0,,10.0,,10.0,,6.0,,28.0,,51.0,15
2453592,UMS GAURAMANI,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-GAURAMANI PO -GANGI HAT,,57.0,,17.0,,24.0,,22.0,,30.0,,18.0,,37.0,,91.0,,148.0,44
2454636,UMS TEGHARIA,Tegharia,KOCHADHAMAN,1,8,Primary with Upper Primary,3-Co-educational,Department of Education,AT-TEGHARIA POGANGHI HAT KOCHADHAMAN,,40.0,,20.0,,25.0,,7.0,,25.0,,13.0,,28.0,,78.0,,118.0,35
